,datetime,tempmin,temp,tempmax
0,2024-10-14,16.6,18.3,22.8
1,2024-10-15,16.9,20.1,26.6
2,2024-10-16,17.0,22.0,29.6
3,2024-10-17,16.1,21.3,29.1
4,2024-10-18,16.0,19.8,26.7
5,2024-10-19,14.0,16.6,18.0
6,2024-10-20,15.0,16.6,18.0
7,2024-10-21,17.0,20.4,24.1
