,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"São Paulo, SP, Brasil",2024-10-14,22.8,16.6,18.3,22.8,16.6,18.3,15.1,82.2,0.0,0,0.0,,0,0,34.2,22.7,139.5,1025.4,89.7,9.1,81.0,7.2,6,10,2024-10-14T05:34:06,2024-10-14T18:11:17,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
1,"São Paulo, SP, Brasil",2024-10-15,26.6,16.9,20.1,26.6,16.9,20.1,14.9,73.5,0.0,0,0.0,,0,0,24.8,17.8,122.5,1020.9,65.5,9.8,176.6,15.2,6,10,2024-10-15T05:33:12,2024-10-15T18:11:44,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
2,"São Paulo, SP, Brasil",2024-10-16,29.6,17.0,22.0,30.2,17.0,22.2,16.4,72.4,0.0,0,0.0,,0,0,32.0,16.7,189.9,1016.1,46.8,9.6,107.5,9.3,5,30,2024-10-16T05:32:20,2024-10-16T18:12:11,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
3,"São Paulo, SP, Brasil",2024-10-17,29.1,16.1,21.3,29.4,16.1,21.3,15.7,72.8,0.0,0,0.0,,0,0,24.5,20.4,158.6,1017.1,50.1,10.3,184.0,15.9,6,30,2024-10-17T05:31:28,2024-10-17T18:12:38,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
4,"São Paulo, SP, Brasil",2024-10-18,26.7,16.0,19.8,27.4,16.0,19.8,15.7,78.1,0.6,100,4.17,rain,0,0,24.1,22.7,134.1,1016.6,49.4,7.9,117.9,10.0,6,10,2024-10-18T05:30:37,2024-10-18T18:13:06,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
5,"São Paulo, SP, Brasil",2024-10-19,18.0,14.0,16.6,18.0,14.0,16.6,15.1,90.9,18.0,100,8.33,rain,0,0,36.4,17.1,144.0,1016.4,78.1,8.4,19.9,1.5,1,10,2024-10-19T05:29:47,2024-10-19T18:13:34,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
6,"São Paulo, SP, Brasil",2024-10-20,18.0,15.0,16.6,18.0,15.0,16.6,15.5,93.4,9.4,100,8.33,rain,0,0,31.7,16.2,134.8,1016.9,96.8,8.1,32.5,2.9,1,10,2024-10-20T05:28:57,2024-10-20T18:14:03,0.6,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
7,"São Paulo, SP, Brasil",2024-10-21,24.1,17.0,20.4,24.1,17.0,20.4,17.4,83.1,0.0,0,0.0,rain,0,0,33.5,17.0,116.0,1019.7,78.6,9.9,105.2,9.1,4,10,2024-10-21T05:28:08,2024-10-21T18:14:32,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
