,datetime,description,icon
0,2024-10-14,Partly cloudy throughout the day.,partly-cloudy-day
1,2024-10-15,Partly cloudy throughout the day.,partly-cloudy-day
2,2024-10-16,Partly cloudy throughout the day.,partly-cloudy-day
3,2024-10-17,Partly cloudy throughout the day.,partly-cloudy-day
4,2024-10-18,Partly cloudy throughout the day with late afternoon rain.,rain
5,2024-10-19,Partly cloudy throughout the day with rain.,rain
6,2024-10-20,Cloudy skies throughout the day with rain in the morning and afternoon.,rain
7,2024-10-21,Partly cloudy throughout the day.,partly-cloudy-day
