,datetime,tempmin,temp,tempmax
0,2024-10-28,16.0,17.9,21.0
1,2024-10-29,18.0,19.5,22.6
2,2024-10-30,17.1,21.1,27.9
3,2024-10-31,16.4,20.7,27.9
4,2024-11-01,16.6,21.3,28.2
5,2024-11-02,18.2,21.6,26.2
6,2024-11-03,18.4,19.2,19.8
7,2024-11-04,18.3,18.9,19.9
