,datetime,tempmin,temp,tempmax
0,2024-10-07,15.0,18.9,27.2
1,2024-10-08,16.0,20.7,33.0
2,2024-10-09,16.0,17.9,21.0
3,2024-10-10,17.0,20.2,25.0
4,2024-10-11,18.1,22.1,28.0
5,2024-10-12,17.0,21.2,27.0
6,2024-10-13,15.0,18.4,24.6
7,2024-10-14,16.6,18.3,22.8
