,datetime,description,icon
0,2024-10-07,Clearing in the afternoon.,partly-cloudy-day
1,2024-10-08,Partly cloudy throughout the day.,partly-cloudy-day
2,2024-10-09,Partly cloudy throughout the day.,partly-cloudy-day
3,2024-10-10,Partly cloudy throughout the day.,partly-cloudy-day
4,2024-10-11,Partly cloudy throughout the day.,partly-cloudy-day
5,2024-10-12,Partly cloudy throughout the day.,partly-cloudy-day
6,2024-10-13,Partly cloudy throughout the day.,partly-cloudy-day
7,2024-10-14,Partly cloudy throughout the day.,partly-cloudy-day
