,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"São Paulo, SP, Brasil",2024-10-07,27.2,15.0,18.9,26.7,15.0,18.9,13.0,70.8,0,0,0,,0,0,26.6,21.9,134.9,1017.3,37.9,10.0,168.6,14.5,6,10,2024-10-07T05:40:36,2024-10-07T18:08:24,0.16,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
1,"São Paulo, SP, Brasil",2024-10-08,33.0,16.0,20.7,32.5,16.0,20.7,15.3,74.4,0,0,0,,0,0,30.6,20.7,140.8,1015.3,50.5,9.0,134.9,11.5,5,10,2024-10-08T05:39:39,2024-10-08T18:08:47,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
2,"São Paulo, SP, Brasil",2024-10-09,21.0,16.0,17.9,21.0,16.0,17.9,15.6,86.6,0,0,0,rain,0,0,40.0,21.9,140.2,1018.7,59.1,5.8,46.7,4.0,2,10,2024-10-09T05:38:42,2024-10-09T18:09:11,0.23,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
3,"São Paulo, SP, Brasil",2024-10-10,25.0,17.0,20.2,25.0,17.0,20.2,17.0,83.0,0,0,0,rain,0,0,40.3,15.3,110.6,1017.5,78.2,7.6,82.3,7.1,4,10,2024-10-10T05:37:45,2024-10-10T18:09:36,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
4,"São Paulo, SP, Brasil",2024-10-11,28.0,18.1,22.1,28.8,18.1,22.3,18.5,81.9,0,0,0,rain,0,0,62.3,26.1,2.8,1013.9,79.2,7.7,72.5,6.2,4,10,2024-10-11T05:36:50,2024-10-11T18:10:00,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
5,"São Paulo, SP, Brasil",2024-10-12,27.0,17.0,21.2,27.6,17.0,21.3,17.3,79.4,0,0,0,rain,0,0,53.6,23.8,264.0,1017.8,78.1,9.9,112.3,9.5,4,10,2024-10-12T05:35:54,2024-10-12T18:10:26,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
6,"São Paulo, SP, Brasil",2024-10-13,24.6,15.0,18.4,24.6,15.0,18.4,15.0,81.2,0,0,0,rain,0,0,33.8,25.6,136.6,1025.4,81.0,9.5,130.3,11.3,6,10,2024-10-13T05:35:00,2024-10-13T18:10:51,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
7,"São Paulo, SP, Brasil",2024-10-14,22.8,16.6,18.3,22.8,16.6,18.3,15.1,82.2,0,0,0,,0,0,34.2,22.7,139.5,1025.4,89.7,9.1,81.0,7.2,6,10,2024-10-14T05:34:06,2024-10-14T18:11:17,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
