,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"São Paulo, SP, Brasil",2024-10-21,24.1,17.0,20.4,24.1,17.0,20.4,17.4,83.1,0.0,0,0.0,rain,0,0,33.5,17.0,115.4,1019.7,78.8,9.9,105.2,9.1,4,10,2024-10-21T05:28:08,2024-10-21T18:14:32,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,83075099999,SBKP,F7461,SBSP,83721099999,SBGR,83780099999"
1,"São Paulo, SP, Brasil",2024-10-22,30.0,20.0,24.4,30.9,20.0,24.8,18.8,72.7,0.0,0,0.0,rain,0,0,35.3,18.2,67.5,1019.0,65.0,10.0,196.2,17.0,7,30,2024-10-22T05:27:21,2024-10-22T18:15:02,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,83075099999,SBKP,F7461,SBSP,83721099999,SBGR,83780099999"
2,"São Paulo, SP, Brasil",2024-10-23,28.0,20.0,23.6,30.2,20.0,24.0,20.3,82.5,18.0,100,4.17,rain,0,0,25.9,19.0,62.0,1016.0,79.4,9.4,101.3,8.8,4,30,2024-10-23T05:26:34,2024-10-23T18:15:32,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"SBMT,83779099999,83075099999,SBKP,F7461,SBSP,83721099999,SBGR,83780099999"
3,"São Paulo, SP, Brasil",2024-10-24,29.0,20.1,23.3,30.7,20.1,23.7,19.2,78.7,9.3,100,12.5,rain,0,0,44.6,33.0,324.3,1011.5,64.6,9.7,157.3,13.5,7,30,2024-10-24T05:25:48,2024-10-24T18:16:03,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SBMT,83779099999,83075099999,SBKP,F7461,SBSP,83721099999,SBGR,83780099999"
4,"São Paulo, SP, Brasil",2024-10-25,27.0,20.0,23.1,28.2,20.0,23.2,19.1,78.6,14.7,100,4.17,rain,0,0,53.6,25.4,337.3,1011.6,77.9,9.8,121.0,10.4,6,30,2024-10-25T05:25:03,2024-10-25T18:16:34,0.77,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"SBMT,83779099999,83075099999,SBKP,F7461,SBSP,83721099999,SBGR,83780099999"
5,"São Paulo, SP, Brasil",2024-10-26,28.4,18.4,23.2,30.4,18.4,23.5,18.2,74.3,2.6,100,37.5,rain,0,0,40.7,19.5,237.6,1015.9,73.5,9.5,122.9,10.7,4,30,2024-10-26T05:24:19,2024-10-26T18:17:06,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"SBMT,SBKP,F7461,SBSP,SBGR"
6,"São Paulo, SP, Brasil",2024-10-27,18.0,16.0,16.7,18.0,16.0,16.7,14.8,89.1,2.2,100,33.33,rain,0,0,31.7,21.7,138.0,1022.0,94.8,8.3,34.5,2.9,2,10,2024-10-27T05:23:35,2024-10-27T18:17:38,0.84,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"SBMT,SBKP,F7461,SBSP,SBGR"
7,"São Paulo, SP, Brasil",2024-10-28,21.0,16.0,17.9,21.0,16.0,17.9,15.8,87.8,0.1,100,4.17,rain,0,0,37.1,16.0,123.4,1021.1,94.2,8.6,57.4,4.9,4,10,2024-10-28T05:22:53,2024-10-28T18:18:11,0.87,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"SBMT,SBKP,F7461,SBSP,SBGR"
